City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ataq,15.3534,47.3664,296.24,35,0,1.79,YE,1697171641
1,takedamachi,32.9562,131.3375,296.45,64,50,1.11,JP,1697171642
2,napili-honokowai,21.5016,-156.7483,298.67,74,0,6.78,US,1697171642
3,buka,-5.5964,154.4812,301.52,74,97,4.32,PG,1697171643
4,ambon,-3.2812,125.6021,300.56,78,63,6.26,ID,1697171643
5,gordonvale,-17.1141,146.0859,304.16,66,53,5.53,AU,1697171644
6,puerto ayora,29.5652,-105.4062,291.98,41,0,4.65,MX,1697171646
7,baise city,27.9805,-107.0606,285.34,80,0,4.42,MX,1697171646
8,pawni,24.5404,106.7799,289.33,94,100,0.59,CN,1697171647
9,nadi,20.5955,79.5471,302.69,56,36,1.29,IN,1697171647
10,lompoc,65.3907,-93.0245,276.76,83,100,3.35,CA,1697171648
11,avarua,-14.8227,46.8383,299.47,76,3,1.86,MG,1697171649
12,talnakh,51.2674,-80.6028,281.15,100,100,2.57,CA,1697171649
13,bollnas,11.735,-85.7555,300.58,82,73,4.37,NI,1697171650
14,ballina,58.7367,151.4076,274.43,56,6,2.86,RU,1697171650
15,margate,61.5871,16.2728,275.42,78,84,1.06,SE,1697171652
16,berdigestyakh,40.3392,96.3922,292.11,16,1,2.29,CN,1697171653
17,selfoss,-31.4994,30.4802,294.11,65,0,8.13,ZA,1697171655
18,nkwerre,18.1662,-99.2494,293.49,87,9,0.65,MX,1697171655
19,tupiza,42.1576,-101.4751,275.34,95,100,14.01,US,1697171656
20,longyearbyen,24.2541,120.6196,304.37,63,40,4.63,TW,1697171659
21,bredasdorp,5.7384,7.0506,295.97,96,100,0.27,NG,1697171661
22,taiohae,4.1667,48.0152,299.76,85,12,3.58,SO,1697171662
23,sisimiut,45.1229,19.6001,288.36,67,26,1.1,RS,1697171663
24,ushuaia,-20.9586,-65.9206,281.65,21,96,2.41,BO,1697171663
25,holualoa,19.2447,-99.9577,285.33,92,65,0.61,MX,1697171663
26,collie,36.2146,63.3875,281.99,35,100,4.65,AF,1697171664
27,sonsorol village,13.1347,34.8754,299.93,63,53,3.11,SD,1697171665
28,san patricio,-3.9322,14.1758,296.24,92,63,1.33,CG,1697171666
29,moyynkum,66.2907,64.9221,272.46,96,100,5.24,RU,1697171666
30,lenoir,-11.4249,123.4408,301.03,72,11,6.7,ID,1697171667
31,aykhal,55.1923,70.7364,279.9,47,70,9.11,KZ,1697171667
32,troia,-6.5365,-61.995,299.46,63,53,0.67,BR,1697171667
33,shimanovsk,19.5373,-1.9077,300.96,15,14,5.19,ML,1697171668
34,puerto san carlos,53.9209,125.7279,287.94,37,93,3.2,RU,1697171669
35,nova vicosa,-2.0172,39.7708,299.71,71,62,3.85,KE,1697171670
36,zubri,14.4023,75.634,302.83,46,94,4.21,IN,1697171671
37,northam,16.3621,-62.8763,301.97,74,64,5.37,MS,1697171671
38,revda,20.4608,-3.0456,299.2,16,3,4.7,ML,1697171671
39,vilyuchinsk,67.8152,-115.2898,275.09,100,100,2.57,CA,1697171672
40,cestos city,-33.3024,116.3228,299.01,27,0,2.71,AU,1697171672
41,fuvahmulah,42.8322,-78.6813,281.05,91,20,2.06,US,1697171673
42,malegaon,-32.2298,136.0949,297.2,27,0,3.45,AU,1697171673
43,fale old settlement,33.7199,25.6214,295.6,58,35,0.54,GR,1697171674
44,blackmans bay,69.7349,-140.4934,270.32,85,100,6.81,US,1697171675
45,sao francisco do sul,44.4763,72.265,284.69,81,100,6.95,KZ,1697171675
46,port elizabeth,35.98,-81.5085,287.67,97,0,1.2,US,1697171677
47,college,41.4096,15.2187,290.67,82,1,1.6,IT,1697171677
48,hirara,52.3215,126.8206,291.94,31,50,5.38,RU,1697171678
49,nuku'alofa,-8.1052,-46.0622,297.46,55,24,1.04,BR,1697171678
50,onega,28.926,118.2525,292.69,68,83,1.77,CN,1697171678
51,ilulissat,25.0218,49.592,296.75,13,2,2.94,SA,1697171679
