City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bayanaul,50.7889,75.6956,6.95,55,16,2.15,KZ,1697202958
1,ushuaia,-54.8,-68.3,8.79,79,75,14.31,AR,1697202958
2,puerto natales,-51.7236,-72.4875,10.25,62,75,6.69,CL,1697202958
3,aripuana,-9.1667,-60.6333,33.99,42,16,0.73,BR,1697202958
4,lompoc,34.6391,-120.4579,18.21,100,20,3.09,US,1697202958
5,nyurba,63.2842,118.3319,-3.27,51,89,1.79,RU,1697202959
6,undurkhaan,47.3194,110.6556,8.48,41,0,3.33,MN,1697202959
7,san patricio,28.017,-97.5169,24.9,95,1,2.13,US,1697202959
8,college,64.8569,-147.8028,-0.03,74,100,2.06,US,1697202959
9,waitangi,-43.9535,-176.5597,11.57,89,7,3.58,NZ,1697202960
10,iqaluit,63.7506,-68.5145,-0.15,86,75,1.54,CA,1697202960
11,bredasdorp,-34.5322,20.0403,18.99,55,14,6.0,ZA,1697202960
12,luanco,43.6152,-5.7934,24.15,84,100,5.14,ES,1697202960
13,adamstown,-25.066,-130.1015,20.35,69,100,4.18,PN,1697202907
14,bilibino,68.0546,166.4372,-6.69,93,100,1.5,RU,1697202961
15,bethel,41.3712,-73.414,11.2,71,0,3.6,US,1697202938
16,port-aux-francais,-49.35,70.2167,2.82,78,64,11.19,TF,1697202961
17,dara,15.3484,-15.4799,34.96,44,36,0.86,SN,1697202961
18,susuman,62.7833,148.1667,-12.23,84,100,0.89,RU,1697202962
19,saipan,15.1355,145.701,28.38,81,100,7.39,MP,1697202718
20,jaru,-10.4389,-62.4664,34.16,44,7,0.92,BR,1697202705
21,port alfred,-33.5906,26.891,18.43,86,69,5.36,ZA,1697202963
22,invercargill,-46.4,168.35,13.9,56,100,1.79,NZ,1697202964
23,selkirk,50.1436,-96.8845,9.04,87,89,0.45,CA,1697202964
24,palikir - national government center,6.9248,158.1611,25.25,83,100,4.39,FM,1697202964
25,albany,42.6001,-73.9662,9.05,75,1,0.45,US,1697202965
26,afaahiti,-17.75,-149.2833,22.93,80,70,7.5,PF,1697202965
27,chengde,40.9725,117.9361,11.65,56,3,1.6,CN,1697202965
28,thompson,55.7435,-97.8558,0.09,100,0,1.54,CA,1697202884
29,blackmans bay,-43.0167,147.3167,10.41,73,100,1.34,AU,1697202965
30,remire-montjoly,4.9167,-52.2667,31.02,66,75,2.57,GF,1697202966
31,fort bragg,35.139,-79.006,17.86,97,100,0.45,US,1697202966
32,anadyr,64.75,177.4833,1.28,93,75,8.0,RU,1697202966
33,smithers,54.7804,-127.1743,1.18,100,100,0.0,CA,1697202966
34,alofi,-19.0595,-169.9187,23.62,82,94,6.4,NU,1697202718
35,edinburgh of the seven seas,-37.0676,-12.3116,14.56,96,100,8.23,SH,1697202967
36,yellowknife,62.456,-114.3525,7.45,100,100,5.14,CA,1697202967
37,kone,-21.0595,164.8658,20.05,87,27,1.47,NC,1697202967
38,cill airne,52.05,-9.5167,12.03,76,75,3.09,IE,1697202968
39,cova figueira,14.8905,-24.2934,25.23,75,15,2.88,CV,1697202968
40,west island,-12.1568,96.8225,25.99,83,75,7.2,CC,1697202968
41,badr hunayn,23.7829,38.7905,37.4,28,0,7.67,SA,1697202968
42,iskateley,67.6803,53.1512,1.12,76,100,4.02,RU,1697202969
43,mount isa,-20.7333,139.5,25.87,15,5,8.23,AU,1697202969
44,talnakh,69.4865,88.3972,0.67,97,96,2.38,RU,1697202969
45,nouadhibou,20.931,-17.0347,33.99,27,2,2.06,MR,1697202970
46,zouerate,22.7187,-12.4521,36.87,13,4,5.86,MR,1697202970
47,vanimo,-2.6741,141.3028,26.74,88,57,2.45,PG,1697202970
48,palpa,-14.5336,-75.1856,25.34,53,17,2.0,PE,1697202970
49,ambodifotatra,-16.9833,49.85,25.38,75,0,3.77,MG,1697202971
50,st. john's,47.5649,-52.7093,13.75,97,100,6.17,CA,1697202954
51,huazhou,21.6333,110.5833,24.98,77,100,1.05,CN,1697202971
52,san antonio de pale,-1.4014,5.6325,25.9,82,99,5.59,GQ,1697202971
53,tarawa,1.419,172.984,28.05,83,75,0.51,KI,1697202971
54,sinop,41.7711,34.8709,17.11,53,0,2.18,TR,1697202972
55,nieuw amsterdam,5.8833,-55.0833,31.19,71,75,4.12,SR,1697202972
56,hadibu,12.65,54.0333,27.94,71,59,1.6,YE,1697202972
57,mariehamn,60.0973,19.9348,8.92,81,0,7.2,AX,1697202973
58,namibe,-15.1961,12.1522,22.86,68,42,4.86,AO,1697202973
59,sola,-13.8833,167.55,25.93,81,100,7.97,VU,1697202973
60,grytviken,-54.2811,-36.5092,-2.15,82,82,3.66,GS,1697202974
61,utrik,11.2278,169.8474,28.24,78,37,6.08,MH,1697202974
62,hithadhoo,-0.6,73.0833,27.54,76,39,4.89,MV,1697202974
63,georgetown,5.4112,100.3354,29.97,79,20,2.57,MY,1697202886
64,stanley,54.868,-1.6985,12.81,71,20,8.75,GB,1697202975
